"date","owid_new_deaths"
2020-03-21,2
2020-03-24,2
2020-03-25,1
2020-03-27,3
2020-03-28,4
2020-03-29,4
2020-03-30,4
2020-03-31,8
2020-04-01,1
2020-04-02,8
2020-04-03,13
2020-04-04,10
2020-04-05,19
2020-04-06,15
2020-04-07,31
2020-04-08,16
2020-04-09,33
2020-04-10,20
2020-04-11,39
2020-04-12,40
2020-04-13,23
2020-04-14,36
2020-04-15,74
2020-04-16,43
2020-04-17,37
2020-04-18,60
2020-04-19,104
2020-04-20,36
2020-04-21,26
2020-04-22,145
2020-04-23,113
2020-04-24,99
2020-04-25,152
2020-04-26,84
2020-04-27,46
2020-04-28,83
2020-04-29,135
2020-04-30,163
2020-05-01,127
2020-05-02,113
2020-05-03,89
2020-05-04,93
2020-05-05,117
2020-05-06,236
2020-05-07,197
2020-05-08,257
2020-05-09,199
2020-05-10,193
2020-05-11,112
2020-05-12,108
2020-05-13,353
2020-05-14,294
2020-05-15,257
2020-05-16,290
2020-05-17,278
2020-05-18,132
2020-05-19,155
2020-05-20,334
2020-05-21,424
2020-05-22,420
2020-05-23,479
2020-05-24,190
2020-05-25,215
2020-05-26,239
2020-05-27,501
2020-05-28,463
2020-05-29,447
2020-05-30,371
2020-05-31,364
2020-06-01,151
2020-06-02,237
2020-06-03,470
2020-06-04,1091
2020-06-05,817
2020-06-06,625
2020-06-07,341
2020-06-08,188
2020-06-09,354
2020-06-10,596
2020-06-11,708
2020-06-12,587
2020-06-13,504
2020-06-14,424
2020-06-15,269
2020-06-16,439
2020-06-17,730
2020-06-18,770
2020-06-19,667
2020-06-20,647
2020-06-21,387
2020-06-22,1044
2020-06-23,759
2020-06-24,793
2020-06-25,965
2020-06-26,718
2020-06-27,719
2020-06-28,602
2020-06-29,267
2020-06-30,473
2020-07-01,648
2020-07-02,741
2020-07-03,679
2020-07-04,654
2020-07-05,523
2020-07-06,273
2020-07-07,480
2020-07-08,895
2020-07-09,782
2020-07-10,730
2020-07-11,665
2020-07-12,539
2020-07-13,276
2020-07-14,443
2020-07-15,878
2020-07-16,579
2020-07-17,668
2020-07-18,736
2020-07-19,578
2020-07-20,296
2020-07-21,301
2020-07-22,915
2020-07-23,790
2020-07-24,718
2020-07-25,737
2020-07-26,729
2020-07-27,306
2020-07-28,342
2020-07-29,854
2020-07-30,485
2020-07-31,639
2020-08-01,688
2020-08-02,784
2020-08-03,274
2020-08-04,266
2020-08-05,857
2020-08-06,829
2020-08-07,819
2020-08-08,794
2020-08-09,695
2020-08-10,292
2020-08-11,705
2020-08-12,926
2020-08-13,737
2020-08-14,627
2020-08-15,615
2020-08-16,635
2020-08-17,214
2020-08-18,266
2020-08-19,751
2020-08-20,707
2020-08-21,625
2020-08-22,504
2020-08-23,644
2020-08-24,226
2020-08-25,320
2020-08-26,650
2020-08-27,626
2020-08-28,518
2020-08-29,552
2020-08-30,673
2020-08-31,339
2020-09-01,256
2020-09-02,827
2020-09-03,575
2020-09-04,513
2020-09-05,522
2020-09-06,703
2020-09-07,4
2020-09-08,223
2020-09-09,703
2020-09-10,611
2020-09-11,554
2020-09-12,534
2020-09-13,421
2020-09-14,217
