"date","owid_new_deaths"
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-26,1
2020-03-27,2
2020-03-30,4
2020-03-31,4
2020-04-01,2
2020-04-02,1
2020-04-03,2
2020-04-04,6
2020-04-05,7
2020-04-06,3
2020-04-07,11
2020-04-08,4
2020-04-09,5
2020-04-10,14
2020-04-11,11
2020-04-12,20
2020-04-13,9
2020-04-14,3
2020-04-15,15
2020-04-16,4
2020-04-17,13
2020-04-18,9
2020-04-19,13
2020-04-20,13
2020-04-21,10
2020-04-22,7
2020-04-23,10
2020-04-24,9
2020-04-25,10
2020-04-26,8
2020-04-27,10
2020-04-28,10
2020-04-29,16
2020-04-30,9
2020-05-01,15
2020-05-02,21
2020-05-03,10
2020-05-04,16
2020-05-05,18
2020-05-06,20
2020-05-07,19
2020-05-08,10
2020-05-09,21
2020-05-10,17
2020-05-11,18
2020-05-12,16
2020-05-13,14
2020-05-14,16
2020-05-15,16
2020-05-16,21
2020-05-17,16
2020-05-18,12
2020-05-19,18
2020-05-20,21
2020-05-21,17
2020-05-22,22
2020-05-23,30
2020-05-24,23
2020-05-25,22
2020-05-26,23
2020-05-27,26
2020-05-28,27
2020-05-29,19
2020-05-30,31
2020-05-31,37
2020-06-01,49
2020-06-02,30
2020-06-03,40
2020-06-04,36
2020-06-05,42
2020-06-06,58
2020-06-07,60
2020-06-08,54
2020-06-09,49
2020-06-10,64
2020-06-11,61
2020-06-13,112
2020-06-14,47
2020-06-15,75
2020-06-16,59
2020-06-17,75
2020-06-18,63
2020-06-19,86
2020-06-20,95
2020-06-21,81
2020-06-22,111
2020-06-23,73
2020-06-24,94
2020-06-25,87
2020-06-26,163
2020-06-27,157
2020-06-28,128
2020-06-29,167
2020-06-30,117
2020-07-01,111
2020-07-02,136
2020-07-03,171
2020-07-04,136
2020-07-05,165
2020-07-06,122
2020-07-07,146
2020-07-08,149
2020-07-09,168
2020-07-10,187
2020-07-11,211
2020-07-12,194
2020-07-13,188
2020-07-14,148
2020-07-15,170
2020-07-16,189
2020-07-17,215
2020-07-18,259
2020-07-19,228
2020-07-20,220
2020-07-21,193
2020-07-22,237
2020-07-23,207
2020-07-24,315
2020-07-25,287
2020-07-26,294
2020-07-27,256
2020-07-28,252
2020-07-29,297
2020-07-30,380
2020-07-31,356
2020-08-01,295
2020-08-02,225
2020-08-03,320
2020-08-04,367
2020-08-05,298
2020-08-06,309
2020-08-07,315
2020-08-08,311
2020-08-09,290
2020-08-10,302
2020-08-11,312
2020-08-12,321
2020-08-13,362
2020-08-14,308
2020-08-15,347
2020-08-16,318
2020-08-17,287
2020-08-18,275
2020-08-19,247
2020-08-20,360
2020-08-21,204
2020-08-22,385
2020-08-23,400
2020-08-24,348
2020-08-25,296
2020-08-26,277
2020-08-27,295
2020-08-28,284
2020-08-29,299
2020-08-30,297
2020-08-31,300
2020-09-01,299
2020-09-02,389
2020-09-03,296
2020-09-04,270
2020-09-05,270
2020-09-06,268
2020-09-07,256
2020-09-08,203
2020-09-09,202
2020-09-10,236
2020-09-11,222
2020-09-12,243
2020-09-13,216
2020-09-14,190
2020-09-15,199
2020-09-16,165
