"date","owid_new_deaths"
2020-03-10,2
2020-03-12,1
2020-03-13,2
2020-03-15,3
2020-03-16,4
2020-03-17,1
2020-03-20,30
2020-03-21,2
2020-03-22,22
2020-03-23,27
2020-03-24,32
2020-03-25,23
2020-03-26,49
2020-03-27,55
2020-03-28,72
2020-03-29,64
2020-03-30,66
2020-05-03,74
2020-05-04,43
2020-05-10,26
2020-05-11,22
2020-05-16,57
2020-05-17,33
2020-05-18,21
2020-05-19,72
2020-05-21,57
2020-05-22,27
2020-05-23,42
2020-05-24,31
2020-05-25,10
2020-05-26,45
2020-05-27,47
2020-05-28,62
2020-05-29,39
2020-05-30,39
2020-05-31,11
2020-06-01,11
2020-06-02,11
2020-06-03,29
2020-06-04,30
2020-06-05,32
2020-06-06,33
2020-06-07,22
2020-06-08,6
2020-06-09,37
2020-06-10,18
2020-06-11,26
2020-06-12,8
2020-06-13,18
2020-06-14,6
2020-06-15,4
2020-06-16,9
2020-06-17,30
2020-06-18,26
2020-06-19,16
2020-06-20,10
2020-06-22,3
2020-06-23,10
2020-06-24,19
2020-06-25,13
2020-06-26,21
2020-06-27,6
2020-06-28,3
2020-06-29,4
2020-06-30,12
2020-07-01,12
2020-07-02,9
2020-07-03,9
2020-07-04,7
2020-07-05,2
2020-07-06,4
2020-07-07,8
2020-07-08,12
2020-07-09,12
2020-07-10,6
2020-07-11,6
2020-07-12,3
2020-07-13,1
2020-07-14,4
2020-07-15,3
2020-07-16,7
2020-07-17,4
2020-07-18,1
2020-07-19,1
2020-07-20,2
2020-07-21,4
2020-07-22,5
2020-07-23,6
2020-07-24,10
2020-07-25,7
2020-07-28,4
2020-07-29,6
2020-07-30,6
2020-07-31,7
2020-08-03,7
2020-08-04,8
2020-08-05,12
2020-08-06,7
2020-08-07,8
2020-08-08,12
2020-08-09,1
2020-08-10,1
2020-08-11,4
2020-08-12,6
2020-08-13,4
2020-08-14,14
2020-08-15,6
2020-08-17,1
2020-08-18,4
2020-08-19,7
2020-08-20,10
2020-08-21,7
2020-08-22,7
2020-08-23,2
2020-08-24,3
2020-08-25,5
2020-08-26,3
2020-08-27,5
2020-08-28,3
2020-08-29,1
2020-08-30,6
2020-08-31,3
2020-09-01,4
2020-09-02,11
2020-09-03,8
2020-09-04,1
2020-09-05,2
2020-09-06,1
2020-09-08,4
2020-09-09,9
2020-09-10,3
2020-09-11,1
2020-09-12,5
2020-09-13,2
2020-09-14,1
2020-09-15,12
2020-09-16,6
2020-09-17,3
2020-09-18,7
2020-09-19,6
2020-09-20,2
