"date","owid_new_deaths"
2020-03-19,1
2020-03-20,3
2020-03-21,5
2020-03-22,12
2020-03-23,9
2020-03-24,7
2020-03-25,7
2020-03-26,15
2020-03-27,16
2020-03-28,17
2020-03-29,16
2020-03-30,23
2020-03-31,37
2020-04-01,46
2020-04-02,63
2020-04-03,79
2020-04-04,69
2020-04-05,76
2020-04-06,73
2020-04-07,75
2020-04-08,76
2020-04-09,87
2020-04-10,96
2020-04-11,98
2020-04-12,95
2020-04-13,97
2020-04-14,98
2020-04-15,107
2020-04-16,115
2020-04-17,125
2020-04-18,126
2020-04-19,121
2020-04-20,127
2020-04-21,123
2020-04-22,119
2020-04-23,117
2020-04-24,115
2020-04-25,109
2020-04-26,106
2020-04-27,99
2020-04-28,95
2020-04-29,92
2020-04-30,89
2020-05-01,93
2020-05-02,84
2020-05-03,78
2020-05-04,61
2020-05-05,64
2020-05-06,59
2020-05-07,64
2020-05-08,57
2020-05-09,48
2020-05-10,50
2020-05-11,47
2020-05-12,55
2020-05-13,53
2020-05-14,58
2020-05-15,55
2020-05-16,48
2020-05-17,41
2020-05-18,44
2020-05-19,31
2020-05-20,28
2020-05-21,23
2020-05-22,27
2020-05-23,27
2020-05-24,32
2020-05-25,32
2020-05-26,29
2020-05-27,28
2020-05-28,34
2020-05-29,30
2020-05-30,28
2020-05-31,26
2020-06-01,25
2020-06-02,23
2020-06-03,22
2020-06-04,24
2020-06-05,21
2020-06-06,18
2020-06-07,21
2020-06-08,23
2020-06-09,19
2020-06-10,18
2020-06-11,17
2020-06-12,17
2020-06-13,15
2020-06-14,14
2020-06-15,15
2020-06-16,18
2020-06-17,17
2020-06-18,19
2020-06-19,21
2020-06-20,23
2020-06-21,22
2020-06-22,23
2020-06-23,24
2020-06-24,27
2020-06-25,24
2020-06-26,21
2020-06-27,19
2020-06-28,17
2020-06-29,15
2020-06-30,18
2020-07-01,16
2020-07-02,19
2020-07-03,17
2020-07-04,19
2020-07-05,20
2020-07-06,19
2020-07-07,16
2020-07-08,19
2020-07-09,22
2020-07-10,18
2020-07-11,23
2020-07-12,21
2020-07-13,19
2020-07-14,19
2020-07-15,20
2020-07-16,17
2020-07-17,21
2020-07-18,18
2020-07-19,17
2020-07-20,16
2020-07-21,17
2020-07-22,18
2020-07-23,19
2020-07-24,18
2020-07-25,17
2020-07-26,16
2020-07-27,17
2020-07-28,17
2020-07-29,15
2020-07-30,14
2020-07-31,15
2020-08-01,17
2020-08-02,19
2020-08-03,18
2020-08-04,19
2020-08-05,18
2020-08-06,19
2020-08-07,14
2020-08-08,15
2020-08-09,16
2020-08-10,15
2020-08-11,14
2020-08-12,15
2020-08-13,18
2020-08-14,21
2020-08-15,22
2020-08-16,21
2020-08-17,19
2020-08-18,22
2020-08-19,20
2020-08-20,23
2020-08-21,19
2020-08-22,22
2020-08-23,22
2020-08-24,19
2020-08-25,18
2020-08-26,24
2020-08-27,20
2020-08-28,26
2020-08-29,36
2020-08-30,39
2020-08-31,42
2020-09-01,44
2020-09-02,47
2020-09-03,45
2020-09-04,49
2020-09-05,53
2020-09-06,56
2020-09-07,53
2020-09-08,57
2020-09-09,52
2020-09-10,55
2020-09-11,58
2020-09-12,56
2020-09-13,48
2020-09-14,57
